"playerId","player","team","position","age","exp","bye","points","lower","upper","sdPts","positionRank","dropoff","tier","ptSpread","overallECR","positionECR","sdRank","risk","sleeper","actualPoints","salary"
2552586,"Tyler Kroft","BUF","TE",28,5,NA,0.782073959938367,0.053,1.2128125382263,1.02318351237693,64,0.0509017809500398,14,1.1598125382263,NA,NA,NA,NA,NA,NA,NA
2541479,"Nick Williams","DET","DL",30,7,NA,0.78,0.78,0.78,NA,155,0.0150000000000001,NA,0,NA,NA,NA,NA,NA,NA,NA
2560731,"John Franklin-Myers","NYJ","DL",24,2,NA,0.77,0.77,0.77,NA,156,0.0150000000000001,NA,0,NA,NA,NA,NA,NA,NA,NA
2559018,"Pharaoh Brown","FA","TE",50,3,NA,0.76,0.76,0.76,NA,65,0.0588278210116732,14,0,NA,NA,NA,NA,NA,NA,NA
2540003,"Damion Square","LAC","DL",31,7,NA,0.76,0.76,0.76,NA,157,0.0549999999999998,NA,0,NA,NA,NA,NA,NA,NA,NA
2550154,"Dan McCullers-Sanders","FA","DL",28,6,NA,0.75,0.75,0.75,NA,158,0.0900000000000001,NA,0,NA,NA,NA,NA,NA,NA,NA
2559485,"River Cracraft","FA","WR",NA,3,NA,0.723454545454545,0.46,0.883975465838509,0.375473700810057,132,0.0408759630200308,13,0.423975465838509,NA,NA,NA,NA,NA,NA,NA
2561002,"DaeSean Hamilton","DEN","WR",25,2,NA,0.720557781201849,0.386,0.918215290519878,0.469518902707868,133,0.0807696456086285,13,0.532215290519878,NA,NA,NA,NA,NA,NA,NA
2540215,"Vance McDonald","PIT","TE",30,7,NA,0.702344357976654,0.395,0.907778364116095,0.307410374904725,66,0.0694876553572392,14,0.512778364116095,NA,NA,NA,NA,NA,NA,NA
2560734,"Troy Fumagalli","DEN","TE",NA,2,NA,0.7,0.7,0.7,NA,67,0.135303543913713,15,0,NA,NA,NA,NA,NA,NA,NA
